ID_Endereco,Latitude,Longitude,Cidade,UF,Logradouro,Numero,Distancia_m
19142,-18.099095523384793,-39.54264774951303,Mucuri,BA,Praça Cauã Siqueira,29,1359.864573
19231,-12.969619448729334,-38.56924568869095,Salvador,BA,Praça Borges,80,4029.485115
19599,-13.112196683915425,-38.41998308949139,Salvador,BA,Praia da Rosa,52,12067.861666
19786,-13.007544026214612,-38.43886575983601,Salvador,BA,Campo Vicente Albuquerque,5,1157.496855
20320,-12.988448671073463,-38.39759989459253,Salvador,BA,Viela Siqueira,208,2430.909311
20390,-13.08216674602387,-38.39402968888118,Salvador,BA,Praia Eduardo Moraes,49,10724.797932
20909,-13.027589467017586,-38.584606741772774,Salvador,BA,Trevo de Costa,67,5798.859717
20925,-13.02209079850965,-38.54363068378255,Salvador,BA,Chácara Nunes,1,1734.008562
20999,-13.03442916859965,-38.4222592398201,Salvador,BA,Loteamento Moreira,896,4617.828215
21104,-13.028584647560283,-38.4729280784519,Salvador,BA,Trecho de Viana,686,1588.193106
21373,-12.935460291448049,-38.533437501050905,Salvador,BA,Feira Leonardo Lopes,278,1751.656312
21670,-13.063170185828666,-38.45773032100978,Salvador,BA,Viaduto da Costa,19,5549.27396
21827,-13.004457434334576,-38.41514672092351,Salvador,BA,Rua da Luz,8,2848.398347
22227,-12.979219286831999,-38.558800502292954,Salvador,BA,Vila Gael Pimenta,25,3721.143527
22607,-12.982824732054876,-38.53301002230097,Salvador,BA,Distrito de Sá,23,1176.642702
23394,-13.019301378144327,-38.45332145708944,Salvador,BA,Setor Lopes,43,1473.807298
23941,-12.97229519988176,-38.55086432026101,Salvador,BA,Viela Pires,1,3424.108972
24147,-13.088066047947546,-38.519394041514026,Salvador,BA,Estação Gabrielly Duarte,76,8559.977939
24255,-16.445599798236483,-39.04604467634103,Porto Seguro,BA,Passarela Monteiro,170,1619.193951
24328,-13.028213244908555,-38.38557596845611,Salvador,BA,Favela de Moreira,40,6780.14987
24883,-13.115906053206686,-38.42996726071515,Salvador,BA,Distrito Enzo Gabriel Rezende,86,12018.297009
24961,-13.078914416551926,-38.448717204930055,Salvador,BA,Residencial de Guerra,562,7486.250248
25205,-13.042157250840576,-38.42391277718279,Salvador,BA,Setor de Ramos,18,5240.359099
25756,-13.025825290795506,-38.55354794300962,Salvador,BA,Área Correia,984,2818.118889
26263,-13.069403624059023,-38.58769011628269,Salvador,BA,Estrada de Castro,5,8424.83328
26640,-12.988753649946295,-38.397043928385,Salvador,BA,Viaduto de Cassiano,67,2494.616513
26791,-13.023506321911752,-38.38747354496889,Salvador,BA,Avenida Sá,400,6235.563825
27160,-13.103792155835594,-38.449945439319215,Salvador,BA,Ladeira Sophie Rodrigues,94,10119.788604
27508,-12.945600520283676,-38.53548748450172,Salvador,BA,Viaduto Fernandes,78,2603.775006
27670,-13.039389636932823,-38.56017678856907,Salvador,BA,Quadra da Cruz,2,4357.645228
28164,-13.081477725807765,-38.56308862042242,Salvador,BA,Colônia Guerra,69,8495.244593
28508,-13.03506215270123,-38.489438169143384,Salvador,BA,Trecho de Vasconcelos,40,2024.441197
29032,-13.029403689300775,-38.39983683770018,Salvador,BA,Condomínio Novaes,7,5798.667874
29275,-13.021777193428388,-38.449009147735744,Salvador,BA,Praia Rodrigo Fernandes,92,1896.236954
30324,-13.050470987447406,-38.49497921178307,Salvador,BA,Viela de Novaes,93,3813.033185
30457,-13.046785521182494,-38.427634122494574,Salvador,BA,Estrada Caldeira,66,5427.604657
30717,-13.055313949308891,-38.58071131560165,Salvador,BA,Chácara Nascimento,1,7179.341347
30724,-12.941314723446295,-38.54322224983105,Salvador,BA,Lago Castro,77,2991.725194
30866,-12.951996747817761,-38.530218946345876,Salvador,BA,Rodovia Cauã Garcia,13,2510.71818
31354,-13.09952878030225,-38.58368882278122,Salvador,BA,Praça Natália Moreira,9,10900.790013
31472,-13.09422473199999,-38.394813135005286,Salvador,BA,Fazenda de Garcia,81,11766.958275
31816,-13.067283342305014,-38.52340685500524,Salvador,BA,Morro Vinícius Casa Grande,476,6318.876949
32168,-13.056901071945832,-38.402318658417514,Salvador,BA,Loteamento Araújo,74,7864.869556
32650,-13.047860849986538,-38.57162851240432,Salvador,BA,Fazenda de Casa Grande,1,5897.528228
32864,-16.45484192845461,-39.05205220716178,Porto Seguro,BA,Pátio Azevedo,36,1041.713905
32894,-12.949800171005373,-38.521549614551354,Salvador,BA,Estrada de Fogaça,96,1710.740204
32937,-13.109875574020078,-38.498429041233436,Salvador,BA,Feira Ana Luiza Gonçalves,84,10357.542527
33101,-13.05864997617373,-38.490315325945694,Salvador,BA,Colônia de Macedo,83,4629.462318
33241,-13.085223032123688,-38.41443828388017,Salvador,BA,Avenida de Sousa,4,9823.941642
33654,-12.951142378175387,-38.517051633068014,Salvador,BA,Residencial Souza,82,1208.519697
34233,-13.037405648694266,-38.42067205013889,Salvador,BA,Jardim Macedo,285,4989.418256
34266,-13.069548467347772,-38.577696395107225,Salvador,BA,Núcleo Benjamim Aparecida,55,8139.104601
34460,-9.185947818762306,-40.95967684961232,Casa Nova,BA,Conjunto de Pastor,893,1034.597554
34478,-13.03909076734125,-38.55635597314868,Salvador,BA,Setor Oliveira,39,4058.710812
34670,-13.094856832569734,-38.59081185417733,Salvador,BA,Vale de Sá,440,9984.467062
34856,-13.075375137777604,-38.52948615935913,Salvador,BA,Loteamento Guerra,73,7156.997273
34916,-12.978778602796188,-38.390059850906724,Salvador,BA,Alameda Pereira,2,2050.41358
34953,-12.984698712673802,-38.53325283516052,Salvador,BA,Morro de Sá,494,1107.686507
35200,-12.933188898367012,-38.58132426908872,Salvador,BA,Fazenda de Nascimento,93,3383.117382
35273,-13.069171900168328,-38.5407301873593,Salvador,BA,Núcleo Gomes,700,6523.423771
35371,-13.037652879262591,-38.520757544912875,Salvador,BA,Avenida de Almeida,86,3052.260073
35607,-13.017427359338985,-38.398483667590995,Salvador,BA,Esplanada Caio Cardoso,18,5027.210451
36216,-18.10007992568939,-39.550839643304315,Mucuri,BA,Rua de Mendes,37,1134.018974
36244,-13.041375383487809,-38.55485938392782,Salvador,BA,Estação Apollo Cavalcante,725,4160.714014
36574,-13.024857148274856,-38.50256556810836,Salvador,BA,Distrito Paulo Casa Grande,98,1417.059148
36716,-13.108393758944466,-38.42496278652562,Salvador,BA,Residencial de Montenegro,6,11457.164915
36860,-13.052341795194279,-38.41181087970978,Salvador,BA,Jardim Sá,672,6900.072699
36894,-13.061819457107628,-38.56223107310374,Salvador,BA,Aeroporto Novais,1,6500.417418
