ID_Endereco,Latitude,Longitude,Cidade,UF,Logradouro,Numero,Distancia_m
18620,-9.418757366692546,-38.22889560548422,Paulo Afonso,BA,Conjunto Maria Luiza Santos,34,365.767769
18877,-14.379950359355561,-40.50128926886313,Bom Jesus da Serra,BA,Trecho Léo Sousa,7,315.528229
19025,-13.303678719210183,-39.81874870375399,Santa Inês,BA,Quadra Barros,11,376.309339
19277,-12.92493422532376,-38.399121734663986,Salvador,BA,Vila Rodrigues,97,224.289252
19489,-12.261962056477447,-38.91705652238896,Feira de Santana,BA,Via Theodoro Garcia,97,204.945391
19599,-13.015086512792797,-38.491850932044244,Salvador,BA,Praia da Rosa,52,237.234306
19745,-12.587310354552363,-38.97438062959851,Cachoeira,BA,Setor de da Conceição,56,727.375395
19753,-11.632751260071275,-42.01768625997986,Ibipeba,BA,Residencial Pacheco,85,213.545683
19757,-12.586521777330699,-38.95978838506115,Cachoeira,BA,Fazenda Arthur Miguel Fogaça,81,214.966687
19759,-8.990736715794965,-39.912529660413604,Curaçá,BA,Fazenda Cecília Vasconcelos,57,296.935543
19764,-12.19769641427386,-38.91466741834546,Feira de Santana,BA,Lagoa de Fogaça,95,330.2228
19785,-9.410029210188153,-40.5172583857167,Juazeiro,BA,Vila Rios,7,337.020079
20169,-13.629039226053397,-41.33789225756326,Barra da Estiva,BA,Largo João Pedro Costela,22,202.788876
20225,-12.299767481974618,-44.529930487145975,Baianópolis,BA,Alameda Pastor,74,260.244698
20306,-14.330462783317868,-40.90365204574238,Caetanos,BA,Avenida de da Mata,49,212.880539
20359,-14.773960938106695,-39.03480286050016,Ilhéus,BA,Sítio Thiago Casa Grande,2,903.464539
20373,-14.84316930016976,-40.81845712346757,Vitória da Conquista,BA,Loteamento Cassiano,81,227.292131
20556,-9.414341979593356,-40.47871243654012,Juazeiro,BA,Esplanada de Lopes,95,596.317785
20576,-13.003648882557943,-38.54132163444075,Salvador,BA,Trevo Caleb Correia,26,853.434244
20902,-12.430484064869695,-38.31507798795056,Pojuca,BA,Fazenda de Correia,46,243.114595
20925,-13.016728386679473,-38.49082112286662,Salvador,BA,Chácara Nunes,1,268.18096
21220,-13.82398226500561,-39.13142260306357,Igrapiúna,BA,Quadra de Sousa,12,330.870778
21325,-14.786785522399803,-39.06668173399062,Ilhéus,BA,Estação Larissa Campos,494,540.511198
21438,-13.009499964995488,-41.37825493177489,Mucugê,BA,Residencial Samuel Rezende,97,298.250759
21522,-13.945393157451935,-39.09780985425539,Camamu,BA,Aeroporto Leão,56,363.779514
21942,-15.612236135714252,-40.26422390392807,Maiquinique,BA,Viaduto de Almeida,9,298.531962
21970,-11.62592782930106,-38.81940444431867,Biritinga,BA,Fazenda de Azevedo,16,299.392859
22023,-9.194620007820431,-40.95968138633559,Casa Nova,BA,Lagoa de Cirino,9,812.691619
22131,-12.657056929484668,-38.553362216642384,Candeias,BA,Feira de Souza,811,315.636101
22141,-12.628695167305503,-38.979238043670385,Muritiba,BA,Feira Rodrigues,3,306.836129
22159,-10.932731224936829,-40.41705535965023,Saúde,BA,Passarela Freitas,8,297.634457
22168,-13.740370207114482,-39.49474044254907,Gandu,BA,Rodovia Rezende,42,349.152647
22298,-12.235786827826075,-38.997876005120695,Feira de Santana,BA,Pátio Raul da Cruz,72,332.995199
22431,-11.095533061618319,-38.51821037042233,Cipó,BA,Vila Théo Cunha,85,269.003684
22580,-12.770250192632199,-39.51328935132001,Santa Teresinha,BA,Via de Moura,19,288.22958
22736,-16.458955113587194,-39.069367830152984,Porto Seguro,BA,Avenida Luara Macedo,259,604.959943
22956,-14.806650060529195,-39.020474529814486,Ilhéus,BA,Rua Ísis Duarte,841,431.58485
